date | value
2000-01-01 | 1
2011-02-29 | 3
2012-01-01 | a
2012-01-04 | 2
2012-01-07 | 2
2012-01-10 | 2
2012-01-13 | 2
2012-01-16+ | 2
2012-01-19 | 0.5
2012-01-22 | 2
2012-01-25 | 2

2012-01-28 | 2
2012-01-29 | 2
2012-02-01 | 0.5
2012-02-05 | 0.5
2012-02-08 | 0.5
2012-02-11 | 0.5
2012-02-14 | 0.5
2012-02-17 | 10
2012-02-20 | 10
2012-02-23 | 0.5
2012-02-26 | 0.5
2012-02-29 | 0.5
2012-03-03 | 0.5
2011-01-09 |
+2011-01-03 | 1.2
2011-01-03+ | 1.2
2011-01-03a | 1.2
2011-01-03error | 1.2
2011-01-03E RRR oorRRR RrRRR | 1.2
2011-01****************************-03 | 1.2
2011errrrrrooooorrrr-01****************************-03 | 1.2
2011-01-03 | 1...........2
2011-01-03 | 1......9325........43534534.5.435.34.53..932...34345354
2011-01-03 | 1......1
